"covariate","quantile","center","q2_5","q97_5","ci_str","time_index","notes"
"Intercept",5,"0.573126015449095","0.557641639867609","0.589013690327843","0.558, 0.589",12995,""
"Intercept",50,"-0.0195447582542425","-0.0202953413027484","-0.0187878166510020","-0.020, -0.019",12995,""
"Intercept",95,"-0.465777844133597","-0.480621670063558","-0.450710193025435","-0.481, -0.451",12995,""
"Lag1",5,"0.378719796632732","0.350650553457990","0.407496014078146","0.351, 0.407",12995,""
"Lag1",50,"0.0177023529897446","0.0164244568112959","0.0190295901518884","0.016, 0.019",12995,""
"Lag1",95,"-0.269414813356164","-0.296852675292642","-0.241054255539631","-0.297, -0.241",12995,""
"Lag2",5,"0.202413191254431","0.0922360080689864","0.316790037998405","0.092, 0.317",12995,""
"Lag2",50,"0.128590888069985","0.123312092472878","0.133903794390086","0.123, 0.134",12995,""
"Lag2",95,"-0.195938564251047","-0.304825843662895","-0.0821001691300730","-0.305, -0.082",12995,""
"Lag3",5,"-0.244933267867413","-0.297046739228123","-0.195252871829779","-0.297, -0.195",12995,""
"Lag3",50,"-0.0206441642954470","-0.0226088542208738","-0.0187208794800848","-0.023, -0.019",12995,""
"Lag3",95,"0.220204528064681","0.172278513810541","0.265616028107273","0.172, 0.266",12995,""
"Lag4",5,"-0.0588823217840841","-0.108715839103720","-0.00457874334282699","-0.109, -0.005",12995,""
"Lag4",50,"-0.0341627473986116","-0.0360924413992182","-0.0321274946523652","-0.036, -0.032",12995,""
"Lag4",95,"0.0627251825247899","0.0155270239035709","0.112958632965094","0.016, 0.113",12995,""
"Lag5",5,"-0.230639756864332","-0.263577177483132","-0.198478409705914","-0.264, -0.198",12995,""
"Lag5",50,"-0.0762390810664986","-0.0775919390728226","-0.0748976572974596","-0.078, -0.075",12995,""
"Lag5",95,"0.185837477850781","0.154712083089858","0.216207091287089","0.155, 0.216",12995,""
"PC1",5,"-0.0993861550264313","-0.100521784177252","-0.0982406690779261","-0.101, -0.098",12995,""
"PC1",50,"-0.000877139600385714","-0.000923242965894180","-0.000830567482675650","-0.001, -0.001",12995,""
"PC1",95,"0.118750717550429","0.117713080653188","0.119807479253840","0.118, 0.120",12995,""
"Precipitation",5,"-0.386084338559486","-0.503015308327800","-0.272926318864907","-0.503, -0.273",12995,""
"Precipitation",50,"0.0665790954837358","0.0609831202381228","0.0720980599957406","0.061, 0.072",12995,""
"Precipitation",95,"0.354458171077889","0.238237493105561","0.465355045228250","0.238, 0.465",12995,""
"Soil Moisture",5,"0.0789472239949562","-0.0708006350820604","0.221843880372250","-0.071, 0.222",12995,""
"Soil Moisture",50,"0.0345090413908412","0.0277739365653336","0.0411204307146154","0.028, 0.041",12995,""
"Soil Moisture",95,"-0.107166912211429","-0.253788859356280","0.0320913756196586","-0.254, 0.032",12995,""
