"quantile","source","stat","center","q2_5","q97_5","ci_str"
5,"GLOFAS","sigma","0.316840856886462","0.308027997653264","0.325577489453833","0.308, 0.326"
5,"NWS","sigma","0.0928676195869186","0.0896043292319646","0.0962158557809813","0.090, 0.096"
5,"USGS","sigma","0.0106634604845550","0.0102220758104672","0.0111512510776232","0.010, 0.011"
20,"GLOFAS","sigma","0.532538210423345","0.516510301062456","0.549391034125661","0.517, 0.549"
20,"NWS","sigma","0.0435259732816329","0.0415509802584612","0.0455858735070512","0.042, 0.046"
20,"USGS","sigma","0.0203073611965558","0.0193537551532429","0.0213541743354814","0.019, 0.021"
35,"GLOFAS","sigma","0.613665899678801","0.593490404568356","0.633176683643864","0.593, 0.633"
35,"NWS","sigma","0.0782834218023745","0.0747635519701113","0.0819785364980153","0.075, 0.082"
35,"USGS","sigma","0.0268387118782231","0.0255339391755410","0.0281275108090142","0.026, 0.028"
50,"GLOFAS","sigma","0.570167916468696","0.552255978678494","0.588667779219096","0.552, 0.589"
50,"NWS","sigma","0.0442172967434455","0.0421883430549964","0.0465165665948253","0.042, 0.047"
50,"USGS","sigma","0.0310069764301954","0.0296080104515038","0.0325667121146516","0.030, 0.033"
65,"GLOFAS","sigma","0.510190064769845","0.493508284351026","0.527111119697412","0.494, 0.527"
65,"NWS","sigma","0.0433965092213575","0.0414352649855224","0.0454488304299926","0.041, 0.045"
65,"USGS","sigma","0.0325821505383648","0.0311197870849969","0.0342439329368691","0.031, 0.034"
80,"GLOFAS","sigma","0.403701698533189","0.391020058710190","0.416151808640522","0.391, 0.416"
80,"NWS","sigma","0.0418594864768505","0.0399904565111780","0.0437783981121015","0.040, 0.044"
80,"USGS","sigma","0.0317408163067350","0.0302896134055456","0.0332728781989913","0.030, 0.033"
95,"GLOFAS","sigma","0.214067934561082","0.208006569858836","0.220006974146858","0.208, 0.220"
95,"NWS","sigma","0.0524711724192587","0.0503282444266359","0.0547374769017400","0.050, 0.055"
95,"USGS","sigma","0.0252080686126341","0.0242233513912321","0.0262669941532923","0.024, 0.026"
