cutoff_dir,cutoff_date,published_crps,bundle_class,support_start,support_end,retrospective_available_start,retrospective_full_history_available,plot_start,plot_end,forecast_start_date,display_scale,selected_run_internal_analysis_scale,figure_name,article_bundle_path,sha256,bytes
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,usgs.png,generated/setup_support_by_cutoff_v2/20210123_exal_m_t1/figures/usgs.png,ce796151abe5262f7071f6b7af547bb5d2e8c97a3e6eed186f971adf82cbb43b,1348128
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,generated/setup_support_by_cutoff_v2/20210123_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,10d4cd171d1f5b0dea7491399274077d8ea70e854c06e57f0b9d719f6fb2aea2,2250207
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,generated/setup_support_by_cutoff_v2/20210123_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,d1bc5a534f51b6c10ebbaeab8581192b572d51102b61ce7ed445da4f62b77377,773970
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,forecats.png,generated/setup_support_by_cutoff_v2/20210123_exal_m_t1/figures/forecats.png,1414c757a61b69a4ed414b071d2e70637e8fd07e7074a835c847dcc2e5cfea88,940063
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,usgs.png,generated/setup_support_by_cutoff_v2/20211112_exal_m_t1/figures/usgs.png,a70e2c150e329041d4d99dcfc7a6d25ce73357dbb8fd167a058a46cd6d3fcc8c,1342201
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,generated/setup_support_by_cutoff_v2/20211112_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,05822aa76ad618e71586c13377cb1bf9493df9776120941931134335818b8108,2252154
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,generated/setup_support_by_cutoff_v2/20211112_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,56914367096ebd685a41bf5a60b3f2111e3438f66086b565fde7bee619a2e768,757623
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,forecats.png,generated/setup_support_by_cutoff_v2/20211112_exal_m_t1/figures/forecats.png,1ef5630c782da5576746ac0a6047acaed2d837264ee382410ea810ff93e9639d,357462
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,usgs.png,generated/setup_support_by_cutoff_v2/20211221_exal_m_t1/figures/usgs.png,c027e82321c1b1b4ae0e0f6934cd333cf0ecffee45671b5c2e01a9996fefc27a,1344526
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,generated/setup_support_by_cutoff_v2/20211221_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,4d626905b23983f20265cea0104c3b1964cf5a2123bc31c88a6b74306cff4f61,2256919
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,generated/setup_support_by_cutoff_v2/20211221_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,0f7a5ea27536aca4d4b2321be15809655df9e23015f922007d76f0e2d250c127,1980514
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,forecats.png,generated/setup_support_by_cutoff_v2/20211221_exal_m_t1/figures/forecats.png,39637c79778f4f9c0fd478e8fb7ef443726b4304f790d06759f4eab209922c25,628572
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,usgs.png,generated/setup_support_by_cutoff_v2/20220511_exal_m_t1/figures/usgs.png,b9b7cbc9a9cf52c5b2f942f68e094cef6add6c4d77cfc255853d67f68d6f839c,1347239
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,generated/setup_support_by_cutoff_v2/20220511_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,963dbf94058cb87b45ef915c2e6656f903ec2e1098cce32e53bdc12391caa023,2263237
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,generated/setup_support_by_cutoff_v2/20220511_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,9dae1424c0191879956811c33a38310652fff41f6b42b8db7cc71a995e331af2,1985587
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,forecats.png,generated/setup_support_by_cutoff_v2/20220511_exal_m_t1/figures/forecats.png,68ef7bd88273b460c0002d363ab44674269606f0d79c435996b77a311d8ea137,224860
20221225_exal_m_t1,2022-12-25,0.4375,histfix_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,log1p_cms,log_log1p_cms,usgs.png,generated/setup_support_by_cutoff_v2/20221225_exal_m_t1/figures/usgs.png,6cc79947d8a9af830c014b8c7dbddee1a9e01857cee49f403daa74dc94300831,1343584
20221225_exal_m_t1,2022-12-25,0.4375,histfix_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,generated/setup_support_by_cutoff_v2/20221225_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,82af64a5f8df2ca5e9a292acd85d972d82dd9d9fd5b57076a77daeba9d38e427,2271044
