cutoff_dir,cutoff_date,published_crps,bundle_class,support_start,support_end,retrospective_available_start,retrospective_full_history_available,plot_start,plot_end,forecast_start_date,display_scale,selected_run_internal_analysis_scale,figure_name,article_bundle_path,sha256,bytes
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/usgs.png,8885915421c410599ef3a8f980330ea1f83252f0779edf994c1c98837c7a3e51,1272134
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,5c4c92bc7a9d0d9e8d42f98bd9bc934ba2517b7757b6e0a57b01110cb0b298db,2228072
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,604b21538c36283b1462cbac87301641d71b6f51c8a5ab9274c5ba331f4adb94,653742
20210123_exal_m_t1,2021-01-23,0.1569,short_window_synth_bundle,1987-05-29,2021-01-23,2018-02-08,False,2020-12-26,2021-02-20,2021-01-24,log1p_cms,log_log1p_cms,forecats.png,artifacts/five_cutoff_setup_support/20210123_exal_m_t1/figures/forecats.png,e823a070fde4f4cbd57bdf5e4deefe043386ff6c6040e5925167a571c59d2352,920375
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/usgs.png,f56d8d9fc5cc6036365045649044939798e17f5736056e0c694e48ff6b01f07d,1269123
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,d17c1bf85ce92f6701d5c1dbad2d880d71d4de616828c2df13d1a0454e25d98c,2232688
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,37107551fef198abf60bf295becddee082f4ca5a4998d581a915fa5eaf1adfde,639260
20211112_exal_m_t1,2021-11-12,0.0284,short_window_synth_bundle,1987-05-29,2021-11-12,2018-11-28,False,2021-10-15,2021-12-10,2021-11-13,log1p_cms,log_log1p_cms,forecats.png,artifacts/five_cutoff_setup_support/20211112_exal_m_t1/figures/forecats.png,6b3a1971d55843ca39c98d35025396bcd0a5635ba476655a20db0c091972d624,324322
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/usgs.png,aca21f95c09c2074d62867f402ee8eff1cab542c7f7f3ba89d61152db36a2ac2,1273169
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,43226153262f0387a44e378d236c135af2d43f1601e847d110189261799d8a54,2236921
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,b3cbe9c8927bbe2c4702e283ffe7c0c01a27b4348c83bfcb8098c363f984efcd,1909283
20211221_exal_m_t1,2021-12-21,0.2369,histfix_long_history_bundle,1987-05-29,2021-12-21,1987-05-29,True,2021-11-23,2022-01-18,2021-12-22,log1p_cms,log_log1p_cms,forecats.png,artifacts/five_cutoff_setup_support/20211221_exal_m_t1/figures/forecats.png,10708eef3b61a49ea07adce13b777905aa58fbcb04c3e5f02a4201bd95fecd22,584645
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20220511_exal_m_t1/figures/usgs.png,ab33afa7fccb440b9f07e6dd9fd9bab8306088a15234f997221115368c505970,1274628
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20220511_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,086d50f114be99a02bea281974c6c7d0a06196c8267d398464452d1275390313,2243479
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,artifacts/five_cutoff_setup_support/20220511_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,092f0f6c634bcb6548519966ca359ea1633ff8175f433318634366e5eb740f71,1914705
20220511_exal_m_t1,2022-05-11,0.0210,histfix_long_history_bundle,1987-05-29,2022-05-11,1987-05-29,True,2022-04-13,2022-06-08,2022-05-12,log1p_cms,log_log1p_cms,forecats.png,artifacts/five_cutoff_setup_support/20220511_exal_m_t1/figures/forecats.png,144cc08a45565a580d83081b0daf97a4e7d583b7b106111f97df074be32cfacc,177271
20221225_exal_m_t1,2022-12-25,0.4375,histfix_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,log1p_cms,log_log1p_cms,usgs.png,artifacts/five_cutoff_setup_support/20221225_exal_m_t1/figures/usgs.png,ebd36a3f2a3dcce2d8b5bf9a8bc39f17e770bb387b038b7ae8b1e1da7a8ab098,1272458
20221225_exal_m_t1,2022-12-25,0.4375,histfix_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,log1p_cms,log_log1p_cms,precip_soilmoisture_climatePC1_faceted_labeled.png,artifacts/five_cutoff_setup_support/20221225_exal_m_t1/figures/precip_soilmoisture_climatePC1_faceted_labeled.png,2a9d3a7d82de8c578351c3014963415a907cf612f93e22110c91d3d2b7b4511c,2249911
20221225_exal_m_t1,2022-12-25,0.4375,histfix_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,log1p_cms,log_log1p_cms,retrospective_log_discharge_plot_faceted.png,artifacts/five_cutoff_setup_support/20221225_exal_m_t1/figures/retrospective_log_discharge_plot_faceted.png,8e4519e083b0ca0c8a8533dfcdabba6b544204124cb7993752efa2e4e9a5ffa8,1915271
20221225_exal_m_t1,2022-12-25,0.4375,histfix_long_history_bundle,1987-05-29,2022-12-25,1987-05-29,True,2022-11-27,2023-01-22,2022-12-26,log1p_cms,log_log1p_cms,forecats.png,artifacts/five_cutoff_setup_support/20221225_exal_m_t1/figures/forecats.png,c3b641db219510a14f7de9e7bf47ca3a7c92211483f03ab4f53072b0e9ec3b20,693307
